Lignin ID,7_913
Adjacency matrix
,1S,2G,3G,4G,5S,6S,7S,
1S,0,1,0,0,0,0,0,
2G,0,0,1,0,0,0,0,
3G,0,0,0,1,0,0,0,
4G,0,0,0,0,1,0,0,
5S,0,0,0,0,0,1,0,
6S,0,0,0,0,0,0,1,
7S,0,0,0,0,0,0,0,

Connectivity matrix
,1S,2G,3G,4G,5S,6S,7S,
1S,0, B, 0, 0, 0, 0, 0, 
2G,5, 0, B, 0, 0, 0, 0, 
3G,0, 4, 0, B, 0, 0, 0, 
4G,0, 0, 4, 0, B, 0, 0, 
5S,0, 0, 0, 4, 0, B, 0, 
6S,0, 0, 0, 0, 4, 0, B, 
7S,0, 0, 0, 0, 0, B, 0, 
