Lignin ID,9_5095
Adjacency matrix
,1G,2S,3S,4G,5G,6S,7S,8S,9S,
1G,0,1,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,
3S,0,0,0,1,0,0,0,0,0,
4G,0,0,0,0,1,0,0,0,0,
5G,0,0,0,0,0,1,0,0,0,
6S,0,0,0,0,0,0,0,0,0,
7S,0,0,0,0,0,0,0,1,0,
8S,0,0,0,0,0,0,0,0,1,
9S,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1G,2S,3S,4G,5G,6S,7S,8S,9S,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 
3S,0, 4, 0, B, 0, 0, 0, 0, 0, 
4G,0, 0, 4, 0, B, 0, 0, 0, 0, 
5G,0, 0, 0, 4, 0, B, 0, 0, 0, 
6S,0, 0, 0, 0, 4, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, 0, 0, B, 0, 
8S,0, 0, 0, 0, 0, 0, 4, 0, B, 
9S,0, 0, 0, 0, 0, 0, 0, 4, 0, 
