Lignin ID,6_288
Adjacency matrix
,1G,2S,3G,4S,5S,6S,
1G,0,1,0,0,0,0,
2S,0,0,1,0,0,0,
3G,0,0,0,1,0,0,
4S,0,0,0,0,1,0,
5S,0,0,0,0,0,1,
6S,0,0,0,0,0,0,

Connectivity matrix
,1G,2S,3G,4S,5S,6S,
1G,0, B, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 
3G,0, 5, 0, B, 0, 0, 
4S,0, 0, 4, 0, B, 0, 
5S,0, 0, 0, 4, 0, B, 
6S,0, 0, 0, 0, B, 0, 
